"","station","Från Datum Tid (UTC)","Till Datum Tid (UTC)","year","month","Rain","Kvalitet","Latitude","Longitude"
"181","Faaroo.csv","1896-11-01 07:00:01","1896-12-01 07:00:00","1896","11",40,"G",57.95481,19.2459
"182","Faaroo.csv","1896-12-01 07:00:01","1897-01-01 07:00:00","1896","12",35,"G",57.95481,19.2459
"183","Faaroo.csv","1897-01-01 07:00:01","1897-02-01 07:00:00","1897","01",16,"G",57.95481,19.2459
"184","Faaroo.csv","1897-02-01 07:00:01","1897-03-01 07:00:00","1897","02",10,"G",57.95481,19.2459
"185","Faaroo.csv","1897-03-01 07:00:01","1897-04-01 07:00:00","1897","03",27,"G",57.95481,19.2459
"186","Faaroo.csv","1897-04-01 07:00:01","1897-05-01 07:00:00","1897","04",43,"G",57.95481,19.2459
"187","Faaroo.csv","1897-05-01 07:00:01","1897-06-01 07:00:00","1897","05",72,"G",57.95481,19.2459
"188","Faaroo.csv","1897-06-01 07:00:01","1897-07-01 07:00:00","1897","06",36,"G",57.95481,19.2459
"189","Faaroo.csv","1897-07-01 07:00:01","1897-08-01 07:00:00","1897","07",24,"G",57.95481,19.2459
"190","Faaroo.csv","1897-08-01 07:00:01","1897-09-01 07:00:00","1897","08",30,"G",57.95481,19.2459
"191","Faaroo.csv","1897-09-01 07:00:01","1897-10-01 07:00:00","1897","09",53,"G",57.95481,19.2459
"192","Faaroo.csv","1897-10-01 07:00:01","1897-11-01 07:00:00","1897","10",14,"G",57.95481,19.2459
"193","Faaroo.csv","1897-11-01 07:00:01","1897-12-01 07:00:00","1897","11",33,"G",57.95481,19.2459
"194","Faaroo.csv","1897-12-01 07:00:01","1898-01-01 07:00:00","1897","12",41,"G",57.95481,19.2459
"195","Faaroo.csv","1898-01-01 07:00:01","1898-02-01 07:00:00","1898","01",16,"G",57.95481,19.2459
"196","Faaroo.csv","1898-02-01 07:00:01","1898-03-01 07:00:00","1898","02",36,"G",57.95481,19.2459
"197","Faaroo.csv","1898-03-01 07:00:01","1898-04-01 07:00:00","1898","03",68,"G",57.95481,19.2459
"198","Faaroo.csv","1898-04-01 07:00:01","1898-05-01 07:00:00","1898","04",17,"G",57.95481,19.2459
"199","Faaroo.csv","1898-05-01 07:00:01","1898-06-01 07:00:00","1898","05",32,"G",57.95481,19.2459
"200","Faaroo.csv","1898-06-01 07:00:01","1898-07-01 07:00:00","1898","06",56,"G",57.95481,19.2459
"201","Faaroo.csv","1898-07-01 07:00:01","1898-08-01 07:00:00","1898","07",93,"G",57.95481,19.2459
"202","Faaroo.csv","1898-08-01 07:00:01","1898-09-01 07:00:00","1898","08",26,"G",57.95481,19.2459
"203","Faaroo.csv","1898-09-01 07:00:01","1898-10-01 07:00:00","1898","09",35,"G",57.95481,19.2459
"204","Faaroo.csv","1898-10-01 07:00:01","1898-11-01 07:00:00","1898","10",22,"G",57.95481,19.2459
"205","Faaroo.csv","1898-11-01 07:00:01","1898-12-01 07:00:00","1898","11",41,"G",57.95481,19.2459
"206","Faaroo.csv","1898-12-01 07:00:01","1899-01-01 07:00:00","1898","12",101,"G",57.95481,19.2459
"207","Faaroo.csv","1899-01-01 07:00:01","1899-02-01 07:00:00","1899","01",28,"G",57.95481,19.2459
"208","Faaroo.csv","1899-02-01 07:00:01","1899-03-01 07:00:00","1899","02",23,"G",57.95481,19.2459
"209","Faaroo.csv","1899-03-01 07:00:01","1899-04-01 07:00:00","1899","03",31,"G",57.95481,19.2459
"210","Faaroo.csv","1899-04-01 07:00:01","1899-05-01 07:00:00","1899","04",23,"G",57.95481,19.2459
"211","Faaroo.csv","1899-05-01 07:00:01","1899-06-01 07:00:00","1899","05",46,"G",57.95481,19.2459
"212","Faaroo.csv","1899-06-01 07:00:01","1899-07-01 07:00:00","1899","06",15,"G",57.95481,19.2459
"213","Faaroo.csv","1899-07-01 07:00:01","1899-08-01 07:00:00","1899","07",2,"G",57.95481,19.2459
"214","Faaroo.csv","1899-08-01 07:00:01","1899-09-01 07:00:00","1899","08",23,"G",57.95481,19.2459
"215","Faaroo.csv","1899-09-01 07:00:01","1899-10-01 07:00:00","1899","09",52,"G",57.95481,19.2459
"216","Faaroo.csv","1899-10-01 07:00:01","1899-11-01 07:00:00","1899","10",20,"G",57.95481,19.2459
"217","Faaroo.csv","1899-11-01 07:00:01","1899-12-01 07:00:00","1899","11",30,"G",57.95481,19.2459
"218","Faaroo.csv","1899-12-01 07:00:01","1/1/00 7:00","1899","12",41,"G",57.95481,19.2459
"219","Faaroo.csv","1/1/00 7:00","2/1/00 7:00","1900","01",22,"G",57.95481,19.2459
"220","Faaroo.csv","2/1/00 7:00","3/1/00 7:00","1900","02",40,"G",57.95481,19.2459
"221","Faaroo.csv","3/1/00 7:00","4/1/00 7:00","1900","03",24,"G",57.95481,19.2459
"222","Faaroo.csv","4/1/00 7:00","5/1/00 7:00","1900","04",15,"G",57.95481,19.2459
"223","Faaroo.csv","5/1/00 7:00","6/1/00 7:00","1900","05",11,"G",57.95481,19.2459
"224","Faaroo.csv","6/1/00 7:00","7/1/00 7:00","1900","06",12,"G",57.95481,19.2459
"225","Faaroo.csv","7/1/00 7:00","8/1/00 7:00","1900","07",41,"G",57.95481,19.2459
"226","Faaroo.csv","8/1/00 7:00","9/1/00 7:00","1900","08",37,"G",57.95481,19.2459
"227","Faaroo.csv","9/1/00 7:00","10/1/00 7:00","1900","09",70,"G",57.95481,19.2459
"228","Faaroo.csv","10/1/00 7:00","11/1/00 7:00","1900","10",119,"G",57.95481,19.2459
"229","Faaroo.csv","11/1/00 7:00","12/1/00 7:00","1900","11",43,"G",57.95481,19.2459
"230","Faaroo.csv","12/1/00 7:00","1/1/01 7:00","1900","12",44,"G",57.95481,19.2459
"231","Faaroo.csv","1/1/01 7:00","2/1/01 7:00","1901","01",21,"G",57.95481,19.2459
"232","Faaroo.csv","2/1/01 7:00","3/1/01 7:00","1901","02",20,"G",57.95481,19.2459
"233","Faaroo.csv","3/1/01 7:00","4/1/01 7:00","1901","03",15,"G",57.95481,19.2459
"234","Faaroo.csv","4/1/01 7:00","5/1/01 7:00","1901","04",22,"G",57.95481,19.2459
"235","Faaroo.csv","5/1/01 7:00","6/1/01 7:00","1901","05",4,"G",57.95481,19.2459
"236","Faaroo.csv","6/1/01 7:00","7/1/01 7:00","1901","06",52,"G",57.95481,19.2459
"237","Faaroo.csv","7/1/01 7:00","8/1/01 7:00","1901","07",3,"G",57.95481,19.2459
"238","Faaroo.csv","8/1/01 7:00","9/1/01 7:00","1901","08",56,"G",57.95481,19.2459
